31568	Bro is a bitch, fucking cunt 
34290	I'm over asking a bitch to do my hair that I'm going to pay nobody got time for you flaking hoes ima just do my own… 
33230	Bitch how?? Nobody watched your videos. You we're just a hoe for male rappers sis.. U not even a rapper at all hone… 
30592	i promise i don't miss you bitch shut ur whore mouth tysm
34030	Fuck you to whoever mirror I just punched off bitch don't cut me off on a good day?
30312	Broke niggas ain't shit cept to a broke bitch, and a hoe witout no dough is a hoe you won't see me wit.
32163	I'm actually in the same position but this bitch wanna act like a cunt towards me so guess what u ain't knowing shit 
32156	This bitch got me taking ibuprofen for the headache she's giving me 😒🖕🖕🖕🖕🖕🖕🖕🖕 cunt
32061	I may or may not have told my bitch ass neighbor that I'd rape her eye socket til she sees the light shining out my ass.... I did.
34260	two-faced bitch u fuckin annoying cunt 😝😅
30140	excuse my lingo when I call you hoe but bitch you know I talk like dat
31730	theres nothing more i hate than joffery. cunt lookin ass bitch
32542	So KD leaving Russ means he's a bitch an hoe, but Lebron allowing Kyrie to get traded and y'all not... nvm 
32957	"The shit Ima miss from home...""fuck it just rape the bitch."""
30870	You be chasing them hoes fuck what a bitch think
33637	you say you breaking bitch? where ya hoe at?
34308	anyway this bitch is back and ready to detest boygroups minus bts and bap with her whole heart and being
31048	Happy Birthday Bitch!! You not a teenager no more hoe. Its about damn time! Fuck it up like you been fucking it up!… 
30433	21 savage: You put a ring on that bitch and she a freak hoe     Also 21 Savage: 
30643	Oh yeah boy, I know you're talking to that bitch who hates me. I frankly don't care because she'll never be me. She's a little hoe
32795	Now that we good, don't be in my face acting like you ain't a hoe just waiting for your moment to gwym. Lil bitty bitch.
34285	Some bitch is legit stealing my snaps and Facebook pics. Like who are you. I made all new social media. Creepy ass hoe
33485	Ol' Mitch, Trump's little bitch looks forlorn. The two assholes behind him are laughing at him! Tough time working… 
32494	Woody Allen ..uflrghhjj .. hiding behind Hollywood production houses bitch raped his one step daughter and married another
32813	Bitch tf you tweeting and favoriting shit for ? You know ion fwy so CUT THE LAUGHS it ain't even about you hoe 
31604	Will I be offended when cunts celebrate my death by rejoicing and bitching about me?   No, because I'll be a dead cunt.  😑
31597	this bitch escaped prison like 2 or 3 times and he fled to florida and killed more women there but a cop pulled him over and he was caught
33638	You actin like yo bum ass daddy scaring us BITCH I'll slap that nigga with my dick don't play hoe
33762	"That bitch scanned me like I wanted her boy 😂 bitch, I'll clock your jaw and look you dead in the eyes and say ""I don't fucken want him hoe"""
31309	Omar's ex is the biggest cunt ass bitch I have ever heard of if this annoying ass washed up art ho don't STFU actin like she somebody ~sigh~
30191	why does this whore actually beg off my boyfriend? he DONT like you bitch.
31953	it's time for me to BOSS UP on you bitch ass niggas & hoes😛
30726	"Idk why hoes be on here tryna front.. all that ""I can't fuck wit different niggas"" bitch yes you can stop playin 😂😂"
34465	Bitch shut your bubble gum ass the fuck up kick rocks hoe 
30944	Fuck being mad at a wack ass bitch! You know how these hoes be....
31545	Yo... Miguel Arango is actually such a hoe when you watch Rebelde again like he cheated on Mia then kept secretly liking Sabrina.. bitch bye
33291	It's 2017 n bitches still don't kno the difference between being freaky and being a whore 😂😂
33815	she's a hoe, she's a bitch, she's ugly. but you dated her??????? please take a seat
31116	"I hate stupid ass questions   Like. ""My head hurt""    ""Why""    Bitch cause my head hurt hoe I have a headache"
33604	bitches be expecting you to stay around while they hoe , bitch u crazy
32825	why is this bitch ass whore sayign she wot give me my money cause i kept talking shit about her.
30958	The bitch in the red jacket at the oj parole is a cunt she trying any question to get him to slip up
31087	Coz I'm a femmy hoe bitch and I live my truth.
32937	ain't bout shit you hoes claim, bitch stop speaking on my name .
31763	clout man shoot cuntosaurus dis bitch
30932	This little bitch who used to be the homie but ranked out for being a bitch is now dating my baby mama😂💀 shady shit haha you hoes nasty😂
30287	I love when needy bitches block me so I don't have to.     Like hello cunt I have a life
32258	Why would I have respect for a bitch that don't even have respect for herself. Hoe you not special
31596	on bd yo nigga a hoe — on me you a bitch  
31610	and no ian gon do fw yo clique but the next hoe that you love i bet i make that hoe my bitch ✅
33639	she told me, you creeping with that hoe🤔 she just another bitch but if she fuck me she could make me leave that other bitch.. 😂😂😂
31882	"the way society tells girls if they show off their body that they're a ""slut, whore, hoe, etc."" makes me SO MAD!! LET PEOPLE BE HAPPY!!"
32662	a whole BOX of oreos bitch
31452	Say yes to too many dates and you're a whore that dates too much. Say no to dates and you're a bitch that doesn't w… 
32293	My mom think she is rational all the time when she says the cunt and bitch when yelling at a 8 year old and 13 year old
33943	Kim can burn in hell with my fat bitch sister. 😊 yesssssssssssssssssssssss    And my ex whore theif murderer
33862	To all the bitch ass hoes that hate me the most, oh yeah I hate you too
