31568	Bro is a bitch, fucking cunt 
33403	Saudi Arabia is the U.S's bitch, they fuck her and then give her skyscrapers and gold plated cars. While the rest of Arabia starves.
30583	shut up i love Those puma shoes already but a bitch is broke so ,,,, im Still going to try to buy it 👅
33472	S/O to all you lurking hoes and bitch ass niggas 😇🖕
33117	My mom said when I did she call dibs on my shoes bitch why you thinking about your child's death tf 😂😭
32848	how bout you mind your fucking business bitch. be moral....silently. hoe. 
30168	Yo... Miguel Arango is actually such a hoe when you watch Rebelde again like he cheated on Mia then kept secretly liking Sabrina.. bitch bye
30607	u scared to rape a bitch? I cant relate
33814	im a bitch and have sick sense of humor so no one likes me but i'm just like whatevs boo you whore
31147	Snake ass hoe I could never fwy I know you're writing STATEMENTS BITCH! U really wanna talk to twitter
32783	a bitch that can fight will be quick to tell you what your man is doing it's these scary hoes that keep quiet lmao
32548	I hate sneaky hoes like bitch gtf back in your lane before I put you there.
33210	You wanted to leave me now you stuck with money hungry stuck up hoes good luck finding a faithful loving bitch like me 😇
33859	You was a hoe in high school now you a hoe in college congrats lul bitty bitch 😂
30683	me and my sisters dog walking any bitch today so come on all you hating hoes
33283	And who claims rape on twitter lol. Uh come on now bitch .. 
30123	Why don't you sound Mexican? Because I learned English from the street bitch, straight out of Hope Arkansas hoe! .. anymore questions ☺️
33085	It's funny trying to be told what to do  I will wear what I want  Talk to whoever I want  Post whatever I want  & be whoever I want to be, bitch
34141	let me clear things out. rape could happen to anyone bitch and everyone is a fucking potential rapist
33899	This fat bitch Florence is apparently supposed to land right on top of me, so I'll be out of town (& likely offline) for a little bit, which means I'm officially a rapefugee.
30811	"Chicks be 2 weeks pregnant and be like ""what my baby needs, I got em""....bitch, your baby need facial features first hoe."
33477	My little brother should've been a girl I swear he's the biggest cry baby little bitch like how my dad & sisters are assholes??? 🙄😒
31250	Get raped bitch
33091	You sound like a bitch in sum messy hoes business
32300	how about i knock heads off and send them gift wrapped to your moms house you dumb raggedy bird bitch ass hoes
33722	She's a hoe, she's ugly, she's a bitch, she's this, she's that .. but you dated her ? please, take a seat.
32826	The double standards of bitch amazes me. These hoes lose their mind when you do them how they do you.
32779	There's so much other shit that can go wrong in a relationship, I don't have time to bitch over you liking pics. I'm liking them hoes too.
31837	Hoe you save my messages on SC bitch I'm blocking you
33807	You won't catch me on this hoe arguing with a bitch lol , bitches are not worth my time ..
31541	bitch I'm gonna slap those hoes commenting about other members when YOU SHOULD BE GRATEFUL THAT NAMJOON IS THERE 
31199	Kyrie was like Gee Money. Lebron was like: Is that all this about some skeezer fuck that hoe bitch you think I give a fuck about her LMAO!
31044	watch what you saying lil bitch watch what you post lil hoe
31296	He gone tell me he gotta come to MY house so ME can wake him up for work in the am😒 bitch have one of yo hoes wake you up
34495	You hoes barely got this & that but be quick too say sum bout where somebody work bitch go get you a job ho
30040	I can be around a bitch and they only know my real name . Keep these hoes out your business baby
33908	Life's a slut, a dirty hoe, either way I can't bitch. -Young Jeezy
30769	sarah the triceratops is such a bitchy lil cunt
33776	Dese bitches will whore around lookin fa love; pathetic 😴😂
33280	Fuck i'm drunk but if you meet a mf by the name of tanner parry at any bars by all means fight that bitch he's a hoe ass motherfucker
31538	i get whoever i want, bitch you ain't me 😉
31013	hannah hoy from hubbard a xanny fiend poppin bitch talkin to her ex and mine little crack whore 😂😂 wassup w it hannah
31094	lani is such a cunt omg the bitch is always coming at people for their looks like sorry can u pipe down
34168	Fiona a whore, Sammi a psycho annoying bitch, Carl a wanna be, Debbie a try hard, Mickey is actually a sweetheart, and Frank a scammer
31234	You & yo bitch some ratchet Bonnie & Clyde hoe
31836	I'm about to bitch slap bro so he know he's a hoe
30649	"Whenever HP is on I have this sick need to watch it & bitch the whole time.   Scene that grind my gears:  ""HARRY DID U PUT UR NAME IN GOF!?""📢"
30548	Yeah bitch I am gonna restate how bad I wanna move out and start my life away from my asshole family
33581	You want nd brought dat bitch a pair of shoes I brought a pipe lil nigga💯
30184	Im tired of these im a gangster ass hoes 😂😂 bitch you don't even know how to reload a gun and don't know where the safety at
31076	Yeah Bc this bitch boutta get raped and murdered so no shit she ain't ever comin back 
33798	don't say it in a curious cat bitch whoever tf you are
32559	lil hunky bitch you lil whore 
34520	How can some of ya worry about how the next nigga/ bitch livin. Who gives a fuck if they broke, or they out here hoein. It aint YOU, is it??
30539	get you a bitch to stan who can drag a hoe frm across the country, and promote her ep, i'll wait... 
31958	Neva trust a bitch🤘 if she tell you she don't got hoes or nigga's her ass lying💯
31653	You hoes weak, on Facebook but be in the same bitch likes that u be hating on.
30689	i ain't treatin or spoilin no bitch unless she da main main got me fucked up haha who u think u foolin ? let hoes cash you out pimp
34001	Before I ever let a bitch make me mad I'll laugh at that bitch right in ha face 😂😂 ion take you hoes serious
34068	And he knew he was in a position to help Kylie - bitch where? I hate that hoe but she got more of a career than you
34103	Wow bitch!!! Why don't you worry about your own damn self. At least she isn't the hoe that you are! Sure her day will be great w/out u in it
31174	To whoever stole £60 of my birthday money out of my room, you are a bitch and you're not allowed round again☺️🖕
31000	If i see and know you a hoe why would i hit you back up lol this bitch got a new nigga in her snap every day c'mon now females in GA WILD! 😂
30693	*is that all you do?* Bitch I like to smoke I'm living the life hoes
31881	I did not come to play with you hoes, I came to slay, bitch
34503	Yall gone stop gasing these hoes up .idgaf if yo ass fat . Bitch you black Asf and disgusting.
34133	Gabriel Graves Fuck You hoe I'm Make your life a living hell bitch
31408	All that pillow talkin nigga that's what the hoes do , YOU A BITCH
30189	Get you some money you too old to be gossiping like a lil bitch for a broke hoe y'all niggas real life faggots
34009	Don't nothing move til I sign you hoes mightiest well be my side bitch 😍😘💸💰 
31203	Bitches be selling they body and acting boogie, bitch you a hoe I see right through you
33275	katara u dumb retarded cunt bitch he is an actual human being with actual feelings
33790	You hit the hoe she lay there  I hit the bitch she fuck back  And boy  She is noisy  I can't shut her up  And boy she annoys me
30596	fucking dumbass fucking bitch fucking dumbass whore
33513	Some bitch told me I'm to in love with my truck and bike....  Bye bye cunt.
34314	do yall know what a hoe is? a hoe is that bitch that let a team run a train on her ass. a hoe aint the female playin you how you played her.
31949	Shut your dumbass up bitch we all know you a hoe
32639	Sallie MAE is the most annoying bitch EVER hoe I ain't paying you shxt lol
30844	Bitch whore son of bitch shit pig dinosaur elephant rhino monkey dog. 
34012	"Oh no, not Jed ""I'm gonna rape this zombie bitch"" & ""Anime games are pedophilic trash"" Whitaker.    Whatever will gam… "
31031	I'm a happy bitch as long as I have the rainbond around and can drag hyunyoung whoever I want to.
