Initial_Sample	Initial_Score	Final_Sample	Final_Score	Distance	Success	Num_Steps
when ugly hoes try to come for you .... Bitch DISGUSTING	0.88427734375	when uglY hoEs trY tO comE fOr yoU...BItch DIsgusting	0.084716796875	19	True	4
Nigga you look like slavery in the flesh oh Plymouth Rock landed on you bitch ass nigga	0.86962890625	Nigger you look like slavery in the flesh oh Plymouth Rock landed on you bitch ass nigger	0.8974609375	4	False	50
Fucking cheating bitch whore.	0.87841796875	f*cking cheatin b*tch who*r	0.056854248046875	7	True	1
like you dudes be so worried about ya bitch being hoes but y'all deadass be the maaainnn problemmm. look in the mirror and you'll see a hoe.	0.8427734375	like you duds be so worried aboout ya biichh being hoesss buuttyyall deeadas are thheee maaaaaainnnn ppprrobleemmsssss. llllookk innthhee mmirrrrorr aaaandd yyouuulll sseeee aa hhoooeee	0.83642578125	57	False	2
I'm not about to wash a grown ass man dishes. Bitch I don't live with you or contributed to that filth. Hoe you NAS…	0.8173828125	I'm not about to wash a grown ass man dishes. Bitch I don't live with you or contributed to that filth. Hoe you _________________________zzz________________	0.79052734375	44	False	50
if you hitting women you a bitch	0.77490234375	if you hittin womans you are basstardedeeseeseseeettstsstuututeseeteessseeeseeseesseeeseeseesseeesseeesseeesseeesseeesseeesseeesseeesseeesseeesseeesseeesseeesseeesseeesseeesseeesseeesseeesseees	0.83203125	167	False	50
When you was young yo mama dropped you on yo head hoe, cuz bitch you got some issues	0.83154296875	When you was young yo mama dropped you on yo head hoed cuz i had a lotta problemssssssssssssssssssssssssssssssssssssssssssssss	0.78271484375	59	False	50
Bitches kill me with that bitch wanna be me hoe you don't wanna be yourself🙄😒	0.87255859375	Bitch killed me with those bitches wanting to be here ho's they didn't want to be their selves 💰💳	0.841796875	41	False	50
She fucking on me, she selling you dreams, that bitch is a hoe🗣🗣	0.78662109375	s  h e's fukkin on m e,she sellin you dreamsssss that bitch is a ho eeee👨‍🌾👩‍🌾👨‍🌾👨‍🌾👨‍🌾👨‍🌾👨‍🌾👨‍🌾👨‍🌾👨‍🌾👨‍🌾👨‍🌾👨‍🌾👨‍🌾👨‍🌾👨‍🌾👨‍🌾	0.814453125	70	False	50
To whatever little ain't shit fuck face being a little bitch sending screenshots to my YOUR MOM IS A FUCKING HOE 🙃🙃🙃🙃🙃	0.76123046875	to whatever little ain't shit fuck face be ing a li tt le bi tch sending screenshots to my YOUR MOM IS A FUCKING HOE 🙃🙃🙃🙃🙃	0.30859375	5	True	15
Now it makes sense why they cast that dumb Bitch Lena Dunham. Her cunt ass looks like she would join a cult	0.84033203125	Now it makes sense why they cast that dumb Bitch Lena Dunham. Her cunt ass looks like she would join a cult.	0.8447265625	1	False	50
Stop tweet watching my shit bitch you don't even follow me HOE	0.70263671875	stop tweeting about my stuff bItch you don't even follOW ME Ho	0.06622314453125	21	True	4
I hate when a bitch call you ugly hoe you had to Sneak up on a mirror 😝😂tf	0.751953125	i hate when a bitch call you ugly hoe you had to have been mnnimiihing unpoina on a mirror 👩‍🍳🙊tf	0.71337890625	30	False	50
Fuck a bitch these hoes Trife I anit looking fa no wife if a nigga fall off you think that hoe gone getchu right	0.8818359375	Fuck a bitch these hoes Trife I anit looking fa no wife if a nigga fall off you think that hoe gone getchu right	0.8818359375	0	False	50
"Every light skin bitch use this emoji ""🍯"" when they saying they a snack. 🙄 Hoe you taste like butter not honey hoe."	0.6982421875	"Every light skin bitch use this emoji ""🇬🇳🇬🇳"" when they saying they a snack. 😉 Hoes you taste like butter not honey hoe."	0.6982421875	6	False	50
Every bitch got a rainbow in her bio or by her name so all you hoes gay now or is it a wave y'all on	0.78857421875	Every bich got a rainbow in her bio or by her name so all yo uhos g4y nwro e aee LLonn	0.222412109375	24	True	32
Hoes will be hoes, bitches will be bitches, and Eryka will be mothafuckin' ERYKA! Thank you bitch!	0.88134765625	Hoes will be Hoas, Bitches will be Bihtches, and Eryka will be Mofha Fuca Erhya thank you bihtch	0.1942138671875	21	True	6
Bitch ima zoe i dont do pledge of Allegiance fuck you lil hoe lock the door if you leaving 🙃	0.82373046875	Bitch ima zoie don't do pledeegee of Allegenece fuck you lil hooe lock the door if you leavingnn 🙃	0.221923828125	13	True	7
That trophy hunter is one son of a bitch. What a cunt	0.78076171875	That trophy hunter is one son of a Bitch. what a Cunt	0.058441162109375	3	True	1
“ No yo ass single cause you tell yo bitch business... to unknown hoes. ”	0.83544921875	“ No yoooooooooo ass ge e ee e cause you tell yo bitch biyyyyysseeeeneneneneeeeeesss...to unkoonwn heoss.”	0.69189453125	46	False	50
Your bitch a hoe I be fuckin her mouth if she ain't fuckin I'm kickin her out 🙄	0.87109375	your bitch a hoe i be fuckin her mouth if she ain't fuckin im kickin her out👻	0.87158203125	6	False	50
Ok bitch nigga. You don't even watch basketball! Stfu. Who was the laker coach this year? Bet yo hoe ass look it up…	0.82568359375	Ok bitch nigga. You don't even watch basketball! Stfu. Who was the laker coach this year? Bet yo hoe ass look it up…	0.82568359375	0	False	1
needy hoe smh called out. i love you though bitch ass 💙	0.79931640625	needy hoe smh called out. i love you though bitch ass 💚👀	0.79931640625	2	False	50
I’m so tired of seeing these dirty ass rat hoes getting on this bitch bashing niggas you got treated like a hoe who the fuck cares 😑	0.8701171875	I'm s o ti red of se eing these dirty as s rat hoes gett ing on this bi cht ba shing ni gg a y ou go t tr ate d li ke ah ooee	0.8486328125	37	False	34
I'm really trying not put yal fake ass spiritual ass hoes out but bitch you pushing it	0.828125	I'm really tryin not put y'all fake ass spitutilsattsatts ahha hoesssssssssssssss out but bitches you pushin it	0.85791015625	34	False	50
Soon I'm done fucking, bitch put your shoes on	0.60791015625	soon i am done fukkin bitch put yer shoes on	0.417724609375	9	True	6
He's not a monster...  He's a bitchy little cunt.	0.73974609375	He's not a m onster... he's a bitchy little c unt.	0.439208984375	4	True	3
A bitch will  fuck with 4 different niggas and all of em to be faithful to her 😑HOE YOU CRAZY!!! 😂😂😂	0.8388671875	A bitch will  fuck with 2 different niggas and all of em to be faithful to her 💔HOE YOU CRAZY!!! 😂📃📃	0.83837890625	4	False	50
karma a lil dirty slutty sneaky bitch	0.81689453125	karma a lil diry slutssy sncakkyy biiatcchh	0.33154296875	10	True	3
Never understand why you would wanna call a bitch that like me or wanted to fuck me before,your friend 💯 is them hoes yo friend Fr ? No🙅‍♂️	0.58203125	never understand why you would wanna call a bitch that like me or wanted to fuck me before,your friend 💯 is them hoes yo fr? No🙅‍♂️	0.441650390625	9	True	1
then it's like i'm not finna have no lil nigga raising his voice at me. bitch, i will dog walk you like the rest of these hoes..	0.88037109375	then it's like i'm not finna have no lil nigga raising his voice at me. bitch, i will dog walk you like the rest of these oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooohhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhheeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeaaaaaaaaaaaaassssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssss.	0.8115234375	335	False	50
"The first sexual attack against a woman happened in Hungary. The criminal is a ""legal"" afghan rapefugee. This is how Orban protects us."	0.8466796875	"The first sexual attack against a woman happened in Hungary. The criminal is a ""legal"" afghani refugee. This is how Orbán protects us."	0.36181640625	4	True	2
Whoever's just hacked my bnet i hope you die in a ditch bitch	0.7275390625	whoever's just hacked my bnet i hope you die in a ditch biatch	0.079345703125	2	True	1
I love you...bitch. I ain't never gonna stop loving you...bitch. You're my best friend in the whole wide world and I can't wait to hug you	0.54833984375	I love you..bitch. I ain't never gonna stop loving you..bitch. You're my best friend in the whole wide world and I can't wait to hug you	0.487060546875	2	True	2
And if you ask me, you a bitch ass nigga if you let another hoe disrespect the mother of your kids 👐	0.86279296875	And if you ask me, you are a bitch ass nigga if you let another hoe disrespect the mother of your kids 😷🚬	0.8623046875	6	False	50
Other people: gosh darn it  Me: god damn tittie fucking cunt ass bitch mother fucker	0.78955078125	Other people: gosh d`arn it  Me: gokamn titites fcking cuuts asholes bitiches mohterfucers	0.1636962890625	22	True	15
Absolute state of that cunt that just served me in Dunne's. Ignorant bitch	0.83056640625	Absolute state of that cunt that just served me in Dunnes. ignoranT BEArtS SSsSSSSsSSs	0.81640625	20	False	50
So now you friends with JAVEN bitch fuck you hoe ! ... — OMG BITCH😂😂😂😂	0.86474609375	So now you friends with JAVEN b*tch f*ck you h**e!… – OMG BITCH😂😂😂😂	0.11517333984375	10	True	2
Hey Bitch stop quoting Jimmy Tatro you fake ass bitch hoe	0.8525390625	Hey Bitch stop quoting Jimmy Tatro you fake ass bitch hoed	0.83154296875	1	False	50
bitch im gonna get that damn pair of shoes aMEN	0.8134765625	biTch im gonna get that damn pair of shoes ameen	0.1480712890625	5	True	4
don't speak on me bitch if we aint cool!!! none of you hoes!	0.8359375	dontspeakonmeebitchifweaintcool!!!!!noneofyouh0es	0.03997802734375	16	True	2
You can fuck my bitch you can have my hoe	0.86572265625	you can fk my bitch esseeeee ereeeereeseeeeeerhoososoooo uyuuyuuyy yyou can have my hoos	0.71337890625	53	False	50
Joffrey is a bitch and I cried of joy when he fuckinf died. He killed my fav whore , Ros . He was a rat too	0.85400390625	Joffrey is a bitch and I cried of joy when he fucking died. He killed my favorite whore, Rachel. She was a real rat, lately.	0.475341796875	26	True	49
I'm tired of these hoes  saying us niggas ain't nah bitch you ain't shit either tf	0.8662109375	im tired of theseh oes saying unigs naiy bithc ain't shitt erth f	0.88232421875	27	False	2
And remember people, the bitch that OJ killed was a lying cheating whore, so get over her!	0.84375	And reememmber peoopppllee, the bitchhhhaat OJ killled was a lieing cheatinnnig whore, so gget over hhere!	0.826171875	19	False	5
I'm not about to wash a grown ass man dishes. Bitch I don't live with you or contributed to that filth. Hoe you NAS…	0.8173828125	I'm not about to wash a grown ass man dishes. Bitch I don't live with you or contribute to that filth. Homes aaaiiiiiiiiiiiijjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjyyy NNNNNNNNNNNNNNNNNNNNNNNNNNANNSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSNNNNNNNNNNNNNNN...	0.75	135	False	50
Kick off ya shoes & relax ya fuckin feet bitch	0.7216796875	Kick off ya shoes & relax ya fuckin feet bich	0.4404296875	1	True	1
Why niggas be cuffin proud whores though? Nigga we use to call that bitch Smash Mouth	0.822265625	Why niggas be cuffin proud ho's tho nigga wus edta c alll thta tw obi tch esmas hmout hs	0.31640625	27	True	13
You put your bitch on the shelf , Nigga I make my hoe bring the cab back	0.85009765625	You put yoru biych on the shelg, nigga imahe my hwoe birng the cab back	0.1912841796875	12	True	10
Stop playing with these women hearts. Karma ain't a bitch to play with, she really has no feelings.	0.64990234375	Stop playing with this women heart. Karma ain't a b***h to play with, she really has no feelin'	0.47998046875	9	True	2
I feel like such a bitch and cunt rn 😭	0.7138671875	I feel like such a bitch and cunt rn🍎	0.60400390625	2	False	50
